Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Seasons,Delta_G,Delta_Passing_Cmp,Delta_Passing_Att,Delta_Passing_Pct,Delta_Passing_Yds,Delta_Passing_Y/A,Delta_Passing_AY/A,Delta_Passing_TD,Delta_Passing_Int,Delta_Passing_Rate,Delta_Rushing_Att,Delta_Rushing_Yds,Delta_Rushing_Avg,Delta_Rushing_TD,Rating,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Team,Round,Pick,Draftyear
Jason Mills,North Texas,Big West,11.0,127.0,245.0,51.8,1667.0,6.8,6.2,13.0,9.0,119.2,68.0,35.0,0.5,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wyatt,Mississippi State,SEC,11.0,92.0,201.0,45.8,1369.0,6.8,4.0,6.0,15.0,97.9,36.0,-80.0,-2.2,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Bandhauer,Iowa State,Big 12,11.0,179.5,364.5,49.25,2360.0,6.45,5.6,17.0,14.5,110.9,40.0,-204.0,-4.15,1.5,2,0.0,-1.0,-19.0,2.299999999999997,-308.0,-0.5,-2.2,-6.0,11.0,-13.0,-24.0,350.0,6.3,,,,,,,,,,,,,,,,,,,,
Chad Hutchinson,Stanford,Pac-10,11.0,189.0,315.0,60.0,2101.0,6.7,5.9,10.0,10.0,120.2,61.0,-216.0,-3.5,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Schultz,Michigan State,Big Ten,12.0,177.0,299.0,59.2,2003.0,6.7,5.3,18.0,17.0,124.0,30.0,-78.0,-2.6,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Niemet,Bowling Green State,MAC,9.0,133.0,256.0,52.0,1723.0,6.7,5.9,8.0,8.0,112.6,61.0,-8.0,-0.1,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Wright,South Carolina,SEC,10.0,142.0,262.5,54.150000000000006,1792.0,6.85,6.6,14.0,7.5,123.6,75.0,50.0,0.6499999999999999,2.0,2,2.0,6.0,21.0,-2.1000000000000014,214.0,0.2999999999999998,-1.2000000000000002,-8.0,5.0,-14.600000000000009,8.0,12.0,0.09999999999999998,2.0,,,,,,,,,,,,,,,,,,,
Cory Sauter,Minnesota,Big Ten,12.0,126.0,234.0,53.8,1576.0,6.7,5.7,8.0,9.0,114.0,129.0,20.0,0.2,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Stoerner,Arkansas,SEC,11.0,172.33333333333334,328.6666666666667,52.6,2423.0,7.3999999999999995,7.166666666666667,19.0,10.333333333333334,128.1,53.0,-128.0,-2.2,1.6666666666666667,3,0.0,2.0,-20.0,3.6499999999999986,-27.0,0.30000000000000027,0.7000000000000002,3.5,-1.5,11.299999999999997,-27.0,103.5,0.5499999999999998,0.0,,,,,,,,,,,,,,,,,,,
Ty Houghtaling,New Mexico State,Big West,11.0,141.0,284.0,49.6,1902.5,6.699999999999999,6.1,15.0,10.5,116.30000000000001,94.5,360.5,3.8,3.0,2,0.0,-22.0,-34.0,-1.7999999999999972,-165.0,0.20000000000000018,0.39999999999999947,10.0,3.0,10.799999999999997,-7.0,-95.0,-0.8000000000000003,-4.0,,,,,,,,,,,,,,,,,,,
Jay Rodgers,Indiana,Big Ten,11.0,192.0,330.0,58.2,2156.0,6.5,5.0,6.0,14.0,110.6,60.0,-121.0,-2.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Kitchens,Alabama,SEC,11.0,121.0,237.0,51.1,1545.0,6.5,6.7,11.0,4.0,117.8,48.0,15.0,0.3,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Roberts,Southern Mississippi,CUSA,11.5,189.5,337.5,56.15,2464.0,7.3,7.199999999999999,20.0,10.0,131.55,35.5,-170.0,-4.75,0.0,2,-1.0,-9.0,-25.0,1.5,432.0,1.799999999999999,1.9999999999999991,8.0,2.0,24.500000000000014,-1.0,44.0,1.0999999999999996,,,,,,,,,,,,,,,,,,,,
Jay Stoner,Wyoming,WAC,10.0,159.5,278.0,57.675,1918.5,6.950000000000001,6.074999999999999,9.25,9.75,120.19999999999999,66.5,-38.0,-0.75,1.75,4,-0.6666666666666666,7.333333333333333,-8.0,4.1333333333333355,-112.66666666666667,-0.2333333333333334,-0.3333333333333333,0.6666666666666666,0.6666666666666666,2.6000000000000036,-4.0,-96.0,-1.7999999999999998,-0.6666666666666666,,,,,,,,,,,,,,,,,,,
